# Time,X,Y,Speed,TargetSpeed
0.0,173.75,-33.76,23.66,40.0
0.02,173.77,-33.32,24.7,40.0
0.03,173.78,-32.91,25.11,40.0
0.05,173.8,-32.45,25.06,40.0
0.07,173.82,-32.01,25.65,40.0
0.08,173.84,-31.53,26.42,40.0
0.1,173.85,-31.09,27.07,40.0
0.12,173.87,-30.59,27.36,40.0
0.14,173.89,-30.12,27.7,40.0
0.15,173.91,-29.61,28.5,40.0
0.17,173.93,-29.14,28.88,40.0
0.19,173.95,-28.62,28.82,40.0
0.2,173.97,-28.12,29.28,40.0
0.22,173.99,-27.58,30.02,40.0
0.24,174.01,-27.07,30.64,40.0
0.26,174.03,-26.52,30.82,40.0
0.27,174.05,-25.99,31.04,40.0
0.29,174.07,-25.42,31.91,40.0
0.31,174.09,-24.9,32.38,40.0
0.32,174.11,-24.32,32.08,40.0
0.34,174.13,-23.77,32.25,40.0
0.36,174.16,-23.17,33.31,40.0
0.37,174.18,-22.61,34.03,40.0
0.39,174.2,-22.01,33.97,40.0
0.41,174.22,-21.42,34.21,40.0
0.43,174.25,-20.81,34.99,40.0
0.44,174.26,-20.21,35.18,40.0
0.46,174.3,-19.58,35.67,40.0
0.48,174.32,-18.99,36.12,40.0
0.49,174.34,-18.34,36.07,40.0
0.51,174.37,-17.73,36.58,40.0
0.53,174.39,-17.07,36.96,40.0
0.54,174.41,-16.45,37.31,40.0
0.56,174.44,-15.78,37.7,40.0
0.58,174.47,-15.15,38.0,40.0
0.6,174.49,-14.47,38.27,40.0
0.61,174.51,-13.82,38.68,40.0
0.63,174.51,-13.14,39.02,40.0
0.65,174.5,-12.48,39.01,40.0
0.66,174.5,-11.77,39.54,40.0
0.68,174.5,-11.11,40.38,40.0
0.7,174.49,-10.5,40.27,40.0
0.71,174.46,-9.85,37.43,40.0
0.73,174.41,-9.24,37.11,40.0
0.75,174.35,-8.58,37.2,40.0
0.77,174.29,-7.98,37.31,40.0
0.78,174.22,-7.32,37.14,40.0
0.8,174.16,-6.7,37.27,40.0
0.82,174.07,-6.05,37.75,40.0
0.83,173.94,-5.42,37.79,40.0
0.85,173.8,-4.77,38.26,40.0
0.87,173.64,-4.15,38.43,40.0
0.88,173.49,-3.48,38.47,40.0
0.9,173.33,-2.85,39.12,40.0
0.92,173.15,-2.18,39.31,40.0
0.94,172.93,-1.54,39.29,40.0
0.95,172.7,-0.93,40.2,40.0
0.97,172.43,-0.31,39.12,40.0
0.99,172.18,0.29,39.05,40.0
1.0,171.92,0.92,39.02,40.0
1.02,171.63,1.51,39.23,40.0
1.04,171.31,2.11,39.46,40.0
1.05,170.97,2.68,39.36,40.0
1.07,170.6,3.27,39.63,40.0
1.09,170.22,3.81,39.84,40.0
1.11,169.81,4.37,39.71,40.0
1.12,169.42,4.9,39.89,40.0
1.14,168.99,5.45,39.91,40.0
1.16,168.56,5.96,39.95,40.0
1.17,168.08,6.46,39.98,40.0
1.19,167.59,6.92,39.89,40.0
1.21,167.07,7.35,40.12,40.0
1.22,166.54,7.74,39.76,40.0
1.24,165.98,8.11,39.26,40.0
1.26,165.41,8.44,39.04,40.0
