time,x,y,v
0.00,36.89,48.85,32.55
0.02,36.14,49.11,40.78
0.03,35.37,49.40,57.07
0.05,34.62,49.72,57.33
0.07,33.87,50.06,48.92
0.08,33.15,50.44,48.86
0.10,32.44,50.85,56.72
0.12,31.76,51.28,48.50
0.14,31.10,51.75,48.30
0.15,30.47,52.25,56.25
0.17,29.87,52.79,56.11
0.19,29.30,53.35,48.05
0.20,28.76,53.94,47.80
0.22,28.26,54.56,55.66
0.24,27.79,55.21,47.53
0.26,27.37,55.87,47.50
0.27,26.98,56.56,55.10
0.29,26.64,57.27,55.09
0.31,26.33,58.00,47.11
0.32,26.08,58.74,54.82
0.34,25.86,59.49,54.63
0.36,25.70,60.26,46.81
0.37,25.58,61.03,46.70
0.39,25.50,61.80,54.50
0.41,25.47,62.58,46.59
0.43,25.49,63.35,46.62
0.44,25.56,64.13,54.14
0.46,25.67,64.89,54.16
0.48,25.83,65.65,46.09
0.49,26.03,66.39,54.16
0.51,26.28,67.12,53.96
0.53,26.55,67.83,46.53
0.54,26.82,68.57,46.54
0.56,27.08,69.28,54.71
0.58,27.33,70.03,46.53
0.60,27.55,70.77,46.78
0.61,27.76,71.53,54.00
0.63,27.92,72.27,54.10
0.65,28.05,73.04,45.83
0.66,28.15,73.79,53.47
0.68,28.20,74.57,53.18
0.70,28.22,75.32,45.73
0.71,28.20,76.08,45.36
0.73,28.14,76.83,52.95
0.75,28.03,77.59,45.11
0.77,27.88,78.32,45.09
0.78,27.69,79.05,52.17
0.80,27.46,79.75,52.19
0.82,27.19,80.45,44.43
0.83,26.88,81.12,51.87
0.85,26.53,81.78,51.76
0.87,26.14,82.40,44.29
0.88,25.72,83.01,44.17
0.90,25.25,83.58,51.47
0.92,24.76,84.12,43.88
0.94,24.23,84.63,43.78
0.95,23.67,85.10,51.00
0.97,23.09,85.53,50.98
0.99,22.48,85.93,43.49
1.00,21.85,86.29,50.82
1.02,21.19,86.61,50.68
1.04,20.53,86.88,43.31
1.05,19.84,87.11,43.13
1.07,19.15,87.30,50.43
1.09,18.45,87.44,42.99
1.11,17.74,87.53,42.94
1.12,17.02,87.58,50.12
1.14,16.31,87.58,50.00
1.16,15.60,87.54,42.70
1.17,14.89,87.45,49.70
1.19,14.20,87.31,49.63
1.21,13.51,87.13,42.34
1.22,12.84,86.91,49.36
1.24,12.19,86.64,49.30
1.26,11.56,86.33,42.18
1.27,10.95,85.98,42.16
1.29,10.36,85.59,49.01
1.31,9.81,85.16,42.16
1.33,9.28,84.70,42.03
1.34,8.77,84.23,49.50
1.36,8.24,83.74,49.42
1.38,7.72,83.28,42.92
1.39,7.18,82.80,49.44
1.41,6.66,82.34,49.93
1.43,6.11,81.85,42.35
1.44,5.60,81.39,42.77
1.46,5.05,80.89,49.29
1.48,4.54,80.43,43.06
1.50,3.99,79.94,42.64
1.51,3.47,79.48,50.50
1.53,2.91,78.98,50.22
1.55,2.39,78.51,43.91
1.56,1.84,78.02,50.55
1.58,1.31,77.55,50.97
1.60,0.75,77.04,43.46
1.61,0.23,76.56,43.69
1.63,-0.29,76.03,50.67
1.65,-0.77,75.49,43.82
1.67,-1.24,74.93,43.47
1.68,-1.68,74.35,50.84
1.70,-2.08,73.74,50.65
1.72,-2.44,73.13,43.44
1.73,-2.79,72.49,50.32
1.75,-3.14,71.87,50.76
1.77,-3.52,71.24,43.26
1.78,-3.88,70.63,43.72
1.80,-4.26,69.98,50.52
1.82,-4.62,69.37,43.89
1.84,-5.01,68.72,43.49
1.85,-5.37,68.11,51.64
1.87,-5.75,67.46,51.23
1.89,-6.12,66.85,44.64
1.90,-6.50,66.19,51.56
1.92,-6.86,65.57,52.17
1.94,-7.25,64.92,44.11
1.95,-7.62,64.30,44.61
